,city,lat,lon,temp,humidity,cloudiness,wind speed
342,Tessalit,20.1986,1.0114,69.87,18,0,15.48
343,Fairhope,30.523,-87.9033,41.29,87,90,6.91
344,Nea Stira,38.1833,24.2,42.69,99,100,14.0
345,Rocha,-34.4833,-54.3333,67.21,94,23,5.41
346,Malanville,11.8685,3.3899,73.92,17,0,6.64
347,Mosquera,4.7059,-74.2302,53.6,94,20,2.3
348,Tabas,33.5959,56.9244,48.2,23,13,2.3
349,Kisangani,0.5167,25.2,73.98,70,27,2.84
350,Boyuibe,-20.4167,-63.2833,70.39,82,86,1.7
351,Turinsk,58.0458,63.696,18.46,98,100,9.66
352,Acapulco de Juárez,16.8634,-99.8901,77.0,69,20,6.91
353,Rawson,-43.3002,-65.1023,70.88,73,0,12.48
354,Nawābganj,24.5911,88.271,65.89,52,0,2.86
355,Elk City,35.412,-99.4043,12.2,67,90,11.5
356,Phulpur,25.55,82.1,58.28,53,0,2.95
357,Rio Grande,-32.035,-52.0986,75.0,94,0,8.63
358,Lagoa,39.05,-27.9833,56.55,69,38,31.88
359,Viranşehir,37.2353,39.7631,48.13,73,0,3.56
360,Antofagasta,-23.65,-70.4,68.0,68,0,4.61
361,Asmara,15.3333,38.9333,52.0,92,15,2.86
362,Nyzhnya Duvanka,49.5846,38.1743,10.9,89,100,19.95
363,Teluk Nibung,3.001,99.8164,82.04,75,100,4.81
364,Neiafu,-18.65,-173.9833,84.2,74,40,6.91
365,Port Hedland,-20.3167,118.5667,86.0,58,0,9.22
366,Plean,56.0652,-3.876,32.23,69,90,3.44
367,Shingū,33.7333,135.9833,62.6,55,75,10.36
368,Jacareacanga,-6.2222,-57.7528,74.86,96,100,2.51
369,Mercedes,-34.6515,-59.4307,65.68,99,5,4.65
370,Yar-Sale,66.8333,70.8333,-28.75,85,30,4.03
371,Sur,22.5667,59.5289,66.97,68,0,1.77
372,Ouallam,14.3188,2.0866,74.23,17,0,8.41
373,Matadi,-5.8167,13.45,75.49,87,100,1.39
374,Nizhnevartovsk,60.9344,76.5531,-13.0,77,0,6.71
375,Katsuura,35.1333,140.3,54.91,60,100,3.0
376,Campobello di Mazara,37.6358,12.7443,46.49,71,75,13.8
377,Serebryansk,49.6925,83.2892,-13.0,84,40,2.24
378,Gemeente Goirle,51.5167,5.05,22.62,68,90,8.05
379,Half Moon Bay,37.4636,-122.4286,51.48,82,1,16.11
380,Ust'-Uda,54.1742,103.0304,-5.64,90,100,2.19
381,Buraidah,26.326,43.975,55.4,76,0,2.3
382,Rhyl,53.3196,-3.4886,34.7,79,100,25.01
383,Kalawit,8.0667,122.5167,83.93,71,88,1.92
384,Zwedru,6.0667,-8.1281,74.61,93,48,4.03
385,Mayahi,13.9553,7.6712,68.49,23,0,8.28
386,Coruripe,-10.1256,-36.1756,76.53,79,3,7.96
387,Aracati,-4.5617,-37.7697,81.23,76,2,13.69
388,Yumen,40.2833,97.2,28.47,86,0,13.71
389,Smoky Lake,54.1169,-112.4686,-12.96,70,0,4.61
390,Santa Isabel,-23.3156,-46.2214,68.0,100,0,6.91
391,Mashhad,36.297,59.6062,41.0,56,0,4.61
392,Vryburg,-26.9566,24.7284,70.61,59,24,9.24
393,Bloemfontein,-29.1211,26.214,68.0,77,16,10.36
394,São Filipe,14.8961,-24.4956,70.12,75,0,10.11
395,Davidson,36.1501,-86.7833,24.55,93,90,10.36
396,Japura,-0.3167,102.35,80.98,76,72,4.5
397,Bull Savanna,17.8868,-77.5902,71.65,87,11,10.58
398,Auki,-8.7676,160.7034,81.91,81,100,8.7
399,San Cristobal,7.7669,-72.225,67.64,79,52,1.72
400,Lorengau,-2.0226,147.2712,82.58,77,100,5.88
401,Rosário Oeste,-14.8361,-56.4275,73.42,90,100,4.5
402,Sandwick,60.0,-1.25,39.2,65,90,37.98
403,Ancud,-41.8697,-73.8203,51.93,71,0,4.61
404,Beian,63.6559,9.5683,33.8,75,75,20.71
405,Xam Nua,20.4197,104.0439,59.07,85,98,2.42
406,Port Keats,-14.25,129.55,87.84,66,100,8.57
407,Klichka,50.4457,117.996,-12.19,87,0,4.47
408,Tazovsky,67.4667,78.7,-38.97,82,3,4.25
409,Vila Velha,-20.3297,-40.2925,77.54,83,0,6.91
410,Opuwo,-18.0607,13.84,60.01,90,75,1.14
